Date,Open,High,Low,Close,Adj Close,Volume
2016-12-09,45.790001,46.970001,45.520000,45.950001,45.950001,973800
2016-12-12,45.810001,45.939999,44.119999,44.840000,44.840000,944900
2016-12-13,44.720001,46.080002,44.529999,45.000000,45.000000,901800
2016-12-14,44.849998,44.849998,43.779999,43.990002,43.990002,901800
2016-12-15,43.779999,44.869999,43.709999,44.220001,44.220001,701500
2016-12-16,44.150002,44.750000,43.790001,44.020000,44.020000,678800
2016-12-19,44.029999,44.220001,42.959999,43.090000,43.090000,1007100
2016-12-20,43.209999,43.680000,42.419998,42.660000,42.660000,890400
2016-12-21,42.849998,42.930000,41.830002,42.349998,42.349998,1332800
2016-12-22,42.279999,42.459999,41.549999,41.669998,41.669998,908800
2016-12-23,41.599998,42.160000,41.509998,42.119999,42.119999,485100
2016-12-27,42.139999,43.130001,42.139999,42.709999,42.709999,424000
2016-12-28,42.790001,42.959999,41.610001,41.840000,41.840000,622200
2016-12-29,41.709999,42.020000,41.410000,41.680000,41.680000,564400
2016-12-30,41.810001,42.340000,41.610001,42.150002,42.150002,770200
2017-01-03,41.650002,44.150002,41.650002,43.320000,43.320000,1195900
2017-01-04,43.400002,45.290001,43.330002,45.060001,45.060001,1688200
2017-01-05,44.509998,45.299999,44.200001,44.810001,44.810001,1096800
2017-01-06,44.990002,45.290001,44.790001,44.980000,44.980000,694100
2017-01-09,45.020000,45.459999,44.669998,45.240002,45.240002,775100
2017-01-10,45.369999,45.509998,44.500000,45.189999,45.189999,776900
2017-01-11,45.169998,45.650002,44.630001,45.200001,45.200001,748900
2017-01-12,45.200001,45.200001,43.830002,44.770000,44.770000,772000
2017-01-13,45.000000,45.290001,44.740002,45.060001,45.060001,456900
2017-01-17,45.000000,45.000000,44.020000,44.250000,44.250000,567600
2017-01-18,44.310001,44.580002,44.070000,44.500000,44.500000,634100
2017-01-19,44.689999,44.990002,44.160000,44.830002,44.830002,765500
2017-01-20,44.950001,45.009998,44.450001,44.900002,44.900002,596500
2017-01-23,44.410000,44.889999,44.130001,44.709999,44.709999,540400
2017-01-24,46.389999,46.669998,45.270000,46.450001,46.450001,1102400
2017-01-25,47.349998,48.349998,47.090000,47.840000,47.840000,1440600
2017-01-26,48.340000,48.799999,47.820000,48.209999,48.209999,2075100
2017-01-27,48.389999,48.580002,47.770000,48.139999,48.139999,776400
2017-01-30,47.750000,47.750000,46.759998,47.730000,47.730000,691400
2017-01-31,47.209999,47.860001,47.009998,47.840000,47.840000,640600
2017-02-01,48.099998,48.590000,47.540001,48.459999,48.459999,1778500
2017-02-02,48.080002,49.389999,47.820000,48.209999,48.209999,2846600
2017-02-03,55.430000,57.299999,54.689999,55.279999,55.279999,7180300
2017-02-06,55.000000,56.070000,54.009998,54.119999,54.119999,3334000
2017-02-07,54.000000,54.459999,52.680000,53.580002,53.580002,2950400
2017-02-08,53.680000,54.810001,53.680000,53.939999,53.939999,1147900
2017-02-09,53.939999,54.490002,53.599998,54.000000,54.000000,900900
2017-02-10,54.040001,54.209999,53.660000,53.759998,53.759998,1045800
2017-02-13,54.029999,54.360001,53.500000,53.810001,53.810001,1125200
2017-02-14,53.740002,54.080002,53.299999,54.080002,54.080002,1021600
2017-02-15,53.950001,55.200001,53.860001,55.009998,55.009998,2136500
2017-02-16,55.200001,55.660000,53.779999,54.060001,54.060001,1773800
2017-02-17,53.599998,54.680000,53.299999,54.619999,54.619999,758300
2017-02-21,54.320000,55.160000,54.150002,55.119999,55.119999,1074400
2017-02-22,54.779999,55.090000,53.950001,54.029999,54.029999,630500
2017-02-23,54.130001,54.160000,53.240002,53.369999,53.369999,1053100
2017-02-24,52.779999,53.330002,52.270000,53.259998,53.259998,1003500
2017-02-27,52.980000,53.660000,52.580002,53.580002,53.580002,1033300
2017-02-28,52.740002,53.330002,52.220001,52.740002,52.740002,738800
2017-03-01,53.250000,53.419998,52.070000,53.279999,53.279999,997800
2017-03-02,53.049999,53.380001,51.980000,51.990002,51.990002,879400
2017-03-03,51.849998,52.209999,51.580002,52.139999,52.139999,718300
2017-03-06,51.439999,51.759998,50.730000,51.020000,51.020000,1708500
2017-03-07,50.880001,51.380001,49.450001,50.160000,50.160000,2296500
2017-03-08,50.410000,50.840000,49.750000,49.840000,49.840000,864400
2017-03-09,49.630001,50.110001,49.169998,49.450001,49.450001,1081100
2017-03-10,49.910000,50.080002,48.240002,48.830002,48.830002,1103500
2017-03-13,48.830002,49.070000,48.430000,48.939999,48.939999,1012100
2017-03-14,48.709999,49.169998,48.169998,49.090000,49.090000,696700
2017-03-15,49.130001,49.630001,48.720001,49.419998,49.419998,1704900
2017-03-16,49.689999,49.869999,49.410000,49.459999,49.459999,442300
2017-03-17,49.820000,49.849998,48.970001,49.099998,49.099998,811100
2017-03-20,49.189999,49.270000,48.860001,49.020000,49.020000,615100
2017-03-21,49.160000,49.160000,47.490002,47.599998,47.599998,1013600
2017-03-22,47.599998,48.189999,47.299999,48.110001,48.110001,757900
2017-03-23,48.060001,48.110001,47.500000,47.820000,47.820000,775600
2017-03-24,47.990002,48.689999,47.570000,48.410000,48.410000,736500
2017-03-27,47.830002,48.439999,47.560001,48.189999,48.189999,1033900
2017-03-28,48.110001,48.520000,48.009998,48.250000,48.250000,1446600
2017-03-29,48.209999,48.889999,48.049999,48.830002,48.830002,551500
2017-03-30,48.700001,49.270000,48.660000,48.959999,48.959999,1300000
2017-03-31,49.380001,50.520000,49.200001,49.549999,49.549999,1253200
2017-04-03,49.639999,50.279999,49.410000,49.709999,49.709999,1220200
2017-04-04,49.549999,50.480000,49.549999,49.990002,49.990002,861200
2017-04-05,50.220001,50.770000,49.799999,49.860001,49.860001,815800
2017-04-06,49.779999,50.860001,49.240002,50.830002,50.830002,1229100
2017-04-07,50.799999,51.000000,50.369999,50.660000,50.660000,558600
2017-04-10,50.630001,50.970001,50.400002,50.480000,50.480000,435000
2017-04-11,50.310001,51.000000,50.290001,50.990002,50.990002,654000
2017-04-12,50.860001,51.340000,50.619999,50.860001,50.860001,709000
2017-04-13,50.840000,51.230000,50.470001,50.599998,50.599998,514300
2017-04-17,50.610001,51.150002,50.610001,51.070000,51.070000,842300
2017-04-18,51.259998,52.599998,50.810001,52.520000,52.520000,1145800
2017-04-19,52.720001,53.410000,52.580002,53.270000,53.270000,713500
2017-04-20,53.630001,54.029999,52.840000,53.980000,53.980000,852500
2017-04-21,54.419998,55.360001,53.750000,54.090000,54.090000,1361800
2017-04-24,54.360001,54.570000,53.000000,53.980000,53.980000,1349500
2017-04-25,54.369999,54.419998,53.619999,53.630001,53.630001,777400
2017-04-26,53.619999,53.950001,53.029999,53.650002,53.650002,591900
2017-04-27,53.799999,54.130001,53.349998,53.480000,53.480000,739100
